period_start,store_id,product_id,total_units_sold,total_revenue,avg_unit_price,avg_inventory_level
2020-01-31,1,1,617,31260.49,52.02225806451613,44.29032258064516
2020-01-31,1,2,610,32575.32,54.611612903225804,42.225806451612904
2020-01-31,1,3,630,37921.69,58.71354838709677,41.96774193548387
2020-01-31,1,4,644,34231.17,52.69483870967742,39.16129032258065
2020-01-31,1,5,649,33251.93,51.292580645161294,45.58064516129032
2020-01-31,1,6,608,29371.48,48.75064516129032,44.38709677419355
2020-01-31,1,7,593,26965.28,47.74290322580645,46.774193548387096
2020-01-31,1,8,621,34542.11,55.06645161290322,40.645161290322584
2020-01-31,1,9,602,35394.26,58.44,43.83870967741935
2020-01-31,1,10,605,30392.16,50.22,38.70967741935484
2020-01-31,1,11,627,33131.35,53.28193548387097,42.74193548387097
2020-01-31,1,12,645,36760.63,53.35290322580645,47.354838709677416
2020-01-31,1,13,591,31941.46,52.30516129032258,35.58064516129032
2020-01-31,1,14,630,29082.12,45.74774193548387,43.096774193548384
2020-01-31,1,15,674,36836.19,56.93709677419355,52.0
2020-01-31,1,16,622,27938.33,43.91161290322581,47.064516129032256
2020-01-31,1,17,643,35854.42,56.141935483870974,42.54838709677419
2020-01-31,1,18,609,31959.75,53.75258064516129,45.29032258064516
2020-01-31,1,19,633,31210.35,48.58548387096774,44.70967741935484
2020-01-31,1,20,557,28059.3,51.44129032258065,39.516129032258064
2020-01-31,1,21,630,31337.16,51.270322580645164,41.58064516129032
2020-01-31,1,22,667,35612.81,52.75806451612903,45.29032258064516
2020-01-31,1,23,592,33437.17,56.80774193548387,45.32258064516129
2020-01-31,1,24,615,33725.47,53.88193548387097,47.0
2020-01-31,1,25,639,33077.95,52.26032258064516,37.903225806451616
2020-01-31,1,26,630,36949.76,59.80516129032258,44.645161290322584
2020-01-31,1,27,599,32512.14,54.04838709677419,41.225806451612904
2020-01-31,1,28,610,34359.86,54.95193548387097,40.25806451612903
2020-01-31,1,29,635,38462.53,61.06354838709677,47.0
2020-01-31,1,30,612,33273.13,55.446451612903225,41.774193548387096
2020-01-31,1,31,602,33454.08,54.62064516129032,40.516129032258064
2020-01-31,1,32,595,35546.7,60.05806451612903,40.16129032258065
2020-01-31,1,33,628,30382.48,47.66290322580645,42.096774193548384
2020-01-31,1,34,609,32494.45,54.74677419354839,42.96774193548387
2020-01-31,1,35,624,32761.15,51.99290322580645,36.935483870967744
2020-01-31,1,36,617,31861.66,52.66935483870968,41.096774193548384
2020-01-31,1,37,634,32112.63,50.16677419354839,40.225806451612904
2020-01-31,1,38,651,34109.520000000004,52.86677419354838,42.12903225806452
2020-01-31,1,39,624,34922.270000000004,56.70806451612903,41.96774193548387
2020-01-31,1,40,628,27738.510000000002,45.079354838709676,45.0
2020-01-31,1,41,586,27669.75,48.031290322580645,43.645161290322584
2020-01-31,1,42,583,32485.23,55.127419354838715,41.096774193548384
2020-01-31,1,43,615,29820.24,49.10645161290322,46.774193548387096
2020-01-31,1,44,632,40194.03,62.63548387096775,42.096774193548384
2020-01-31,1,45,589,32667.93,53.93451612903226,44.774193548387096
2020-01-31,1,46,615,33198.38,52.72709677419355,41.87096774193548
2020-01-31,1,47,583,31324.49,54.486774193548385,40.74193548387097
2020-01-31,1,48,645,37247.8,56.00096774193548,46.29032258064516
2020-01-31,1,49,619,34697.21,55.700967741935486,41.54838709677419
2020-01-31,1,50,592,29211.58,50.64096774193549,37.41935483870968
