period_start,product_id,total_units_sold,total_revenue,avg_unit_price,avg_inventory_level
2020-01-31,1,6206,332435.58,54.11822580645162,43.593548387096774
2020-01-31,2,6062,325080.11,53.535870967741936,41.74516129032258
2020-01-31,3,6253,322471.76,50.972096774193545,43.16129032258065
2020-01-31,4,6271,335566.26,53.72316129032258,41.561290322580646
2020-01-31,5,6351,327150.72,51.566870967741934,44.487096774193546
2020-01-31,6,6038,309422.9,51.74219354838709,42.37096774193548
2020-01-31,7,5937,309167.46,51.91454838709677,42.37096774193548
2020-01-31,8,6256,337124.24,53.35838709677419,42.60645161290323
2020-01-31,9,6216,329847.31,52.8693870967742,42.44516129032258
2020-01-31,10,6129,302786.5,49.462709677419355,42.81935483870968
2020-01-31,11,6205,336505.08,53.69354838709677,40.987096774193546
2020-01-31,12,6270,336102.94,52.540451612903226,43.41290322580645
2020-01-31,13,6251,326797.33,52.29635483870968,41.6
2020-01-31,14,6172,329655.86,53.45122580645161,41.24193548387096
2020-01-31,15,6183,318619.09,51.59729032258065,42.8
2020-01-31,16,6188,305725.4,49.45741935483871,41.8741935483871
2020-01-31,17,6181,324068.6,52.226612903225806,42.27096774193548
2020-01-31,18,6083,320428.99,52.41193548387097,43.05806451612903
2020-01-31,19,6282,327969.34,51.491419354838705,41.68709677419355
2020-01-31,20,6051,316349.44,52.43961290322581,42.832258064516125
2020-01-31,21,6311,323345.68,51.67493548387097,43.16451612903226
2020-01-31,22,6309,333413.93,53.17896774193548,42.277419354838706
2020-01-31,23,6199,321766.85,52.318483870967746,42.62258064516129
2020-01-31,24,6184,319668.73,50.87064516129032,43.29032258064516
2020-01-31,25,6258,325649.96,52.13403225806451,41.693548387096776
2020-01-31,26,6173,326868.57,53.2433870967742,42.809677419354834
2020-01-31,27,6118,326744.58999999997,53.155645161290316,40.825806451612905
2020-01-31,28,6094,315072.83,51.32329032258065,41.177419354838705
2020-01-31,29,6221,334195.64,53.800225806451614,42.8741935483871
2020-01-31,30,6014,324058.14,54.26809677419355,41.89677419354838
2020-01-31,31,6160,324514.01,52.72303225806452,41.41612903225806
2020-01-31,32,6178,324387.54,53.587935483870965,44.35806451612903
2020-01-31,33,6129,324610.58999999997,52.8308064516129,43.21612903225806
2020-01-31,34,6162,326383.75,52.53716129032258,43.24193548387097
2020-01-31,35,6207,335272.97000000003,54.580870967741944,40.73870967741935
2020-01-31,36,6171,308555.9,49.688,42.46129032258064
2020-01-31,37,6299,345309.68,54.89370967741936,42.50967741935484
2020-01-31,38,6135,330411.22000000003,53.47945161290322,41.16451612903226
2020-01-31,39,6239,347522.7,55.52919354838709,43.59677419354839
2020-01-31,40,6141,292121.32,47.74009677419355,42.693548387096776
2020-01-31,41,6119,321281.38,53.34335483870967,41.73870967741935
2020-01-31,42,6016,316879.16000000003,53.05183870967742,42.64193548387097
2020-01-31,43,6277,323307.55000000005,51.7703870967742,43.18709677419355
2020-01-31,44,6208,336577.49,54.14993548387097,41.80322580645161
2020-01-31,45,6091,336550.13,54.59525806451613,41.26774193548387
2020-01-31,46,6062,312940.69,51.34400000000001,42.68387096774193
2020-01-31,47,6046,325542.94,54.50458064516128,43.59032258064516
